raion_id,raion_name,oblast_name,week_start,target_week_start,y_next_high_intensity,y_next_any_event,y_next_event_count,y_next_fatalities_sum,y_next_air_drone_strike_count,acled_event_count_lag1,acled_event_count_roll4_sum,air_drone_strike_count_lag1,air_drone_strike_count_roll4_sum,any_event_lag1,any_event_roll4_sum,border_crossing_count,border_crossings_per_1000sqkm,fatalities_sum_lag1,fatalities_sum_roll4_sum,firms_bright_ti4_mean,firms_change_vs_prev_week,firms_day_count,firms_event_count,firms_event_count_lag1,firms_event_count_roll4_sum,firms_frp_max,firms_frp_mean,firms_frp_sum,firms_frp_sum_lag1,firms_frp_sum_roll4_sum,firms_high_conf_count,firms_low_conf_count,firms_night_count,firms_nominal_conf_count,firms_type0_count,firms_type2_count,high_intensity_week_lag1,high_intensity_week_roll4_sum,major_road_density_km_per_100sqkm,major_road_share,nearest_border_crossing_km,ntl_change_vs_prev_week,ntl_change_vs_prev_week_lag1,ntl_change_vs_rolling4,ntl_high_quality_share,ntl_latest_hq_share,ntl_obs_days,ntl_pct_change_vs_prev_week,ntl_valid_pixels_sum,ntl_week_mean,ntl_week_mean_lag1,ntl_week_mean_roll4_mean,ntl_week_median,ntl_week_std_mean,paved_road_share,place_count_city,place_count_settlement,place_count_village,places_per_10k_pop_2023,pop_2022_mean,pop_2022_sum,pop_2023_mean,pop_2023_per_sqkm,pop_2023_sum,pop_change_abs_2022_2023,pop_change_pct_2022_2023,populated_place_count,rail_density_km_per_100sqkm,rail_to_road_ratio,rail_total_length_km,road_bridge_length_km,road_density_km_per_100sqkm,road_major_length_km,road_paved_length_km,road_total_length_km,unosat_affected_road_count_pre2024,unosat_affected_urban_area_km2_pre2024,unosat_damage_area_km2_pre2024,unosat_damage_point_count_pre2024,unosat_damage_polygon_count_pre2024,unosat_feature_count_2022,unosat_feature_count_2023,unosat_feature_count_pre2024,unosat_flood_area_km2_pre2024,unosat_flood_feature_count_pre2024,unosat_unique_source_layers
UA1404,Volnovaskyi,Donetska,2024-04-15,2024-04-22,1,1,31.0,45.0,10.0,35.0,131.0,21.0,68.0,1.0,4.0,0,0.0,49.0,220.0,339.915,-139.0,5.0,6.0,145.0,467.0,71.35,17.38,104.28,1647.18,4748.370000000001,0.0,0.0,1.0,6.0,6.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.1320082296471095,-0.035473563397696695,0.00969461639021646,0.5835401503955087,0.4164598496044914,7,-0.2677664255836701,215166,0.3609894617526301,0.4929976913997396,0.3512948453624136,0.3554155854485074,1.0757327262864709,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-04-22,2024-04-29,1,1,44.0,63.0,20.0,29.0,124.0,10.0,63.0,1.0,4.0,0,0.0,52.0,209.0,331.4,-2.0,3.0,4.0,6.0,435.0,26.44,16.36,65.44,104.28,4404.97,0.0,1.0,1.0,3.0,4.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.09100602336243219,-0.1320082296471095,-0.12346944239927538,0.0832520007807925,0.9167479992192076,7,-0.25210160684633653,215166,0.2699834383901979,0.3609894617526301,0.39345288078947327,0.2869822998963283,0.4489753351443183,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-04-29,2024-05-06,1,1,36.0,59.0,10.0,31.0,131.0,10.0,61.0,1.0,4.0,0,0.0,45.0,208.0,339.815,24.0,28.0,28.0,4.0,347.0,13.16,5.019285714285714,140.54,65.44,3727.93,2.0,4.0,0.0,22.0,28.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,0.002844069328014731,-0.09100602336243219,-0.1402829538667883,0.3265292843664891,0.6734707156335108,7,0.010534236266390141,215166,0.2728275077182126,0.2699834383901979,0.4131104615850009,0.2869822998963283,0.4735817624415169,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-05-06,2024-05-13,1,1,29.0,50.0,6.0,44.0,139.0,20.0,61.0,1.0,4.0,0,0.0,63.0,209.0,338.4597674418605,15.0,42.0,43.0,28.0,183.0,35.77,6.3711627906976736,273.96,140.54,1957.4400000000005,3.0,9.0,1.0,31.0,43.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.030675414509810817,0.002844069328014731,-0.1070474316067932,0.3887928390173168,0.6112071609826832,7,-0.11243519675257099,215166,0.2421520932084018,0.2728275077182126,0.349199524815195,0.203589534508229,0.4552882434056977,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-05-13,2024-05-20,1,1,35.0,66.0,11.0,36.0,140.0,10.0,50.0,1.0,4.0,0,0.0,59.0,219.0,339.42333333333335,-40.0,3.0,3.0,43.0,81.0,8.99,5.196666666666666,15.59,273.96,584.2200000000003,0.0,0.0,0.0,3.0,3.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.1005462461895602,-0.030675414509810817,-0.14488227824851896,0.2795376592956136,0.7204623407043863,7,-0.41521939726958185,215166,0.1416058470188416,0.2421520932084018,0.28648812526736056,0.1610106284387245,0.3781111326617954,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-05-20,2024-05-27,1,1,26.0,47.0,8.0,29.0,140.0,6.0,46.0,1.0,4.0,0,0.0,50.0,217.0,334.0079487179487,36.0,33.0,39.0,3.0,78.0,17.52,4.400256410256411,171.61,15.59,495.5300000000002,0.0,8.0,6.0,31.0,39.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.010107604740204806,-0.1005462461895602,-0.10014397930527666,0.2653904427279402,0.7346095572720597,7,-0.07137844201348495,215166,0.1314982422786368,0.1416058470188416,0.23164222158391345,0.1591902066291846,0.3769587270255248,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-05-27,2024-06-03,1,1,33.0,58.0,17.0,35.0,144.0,11.0,47.0,1.0,4.0,0,0.0,66.0,238.0,301.5,-36.0,0.0,3.0,39.0,113.0,0.84,0.6333333333333333,1.9,171.61,601.7000000000003,0.0,0.0,3.0,3.0,3.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,0.029575106616894914,-0.010107604740204806,-0.03594757366049148,0.0002602641681306,0.9997397358318691,3,0.2249087600291041,92214,0.1610733488955317,0.1314982422786368,0.1970209225560232,0.1610823824717938,0.3872061570592122,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-06-03,2024-06-10,1,1,36.0,49.0,20.0,26.0,126.0,8.0,35.0,1.0,4.0,0,0.0,47.0,222.0,334.0153846153846,23.0,22.0,26.0,3.0,88.0,43.81,7.9411538461538465,206.47,1.9,463.06000000000023,0.0,0.0,4.0,26.0,26.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.03739239434277221,0.029575106616894914,-0.04540142829759346,0.016716550632225,0.983283449367775,6,-0.23214513511495943,184428,0.1236809545527595,0.1610733488955317,0.16908238285035296,0.1270396804850507,0.369684489093356,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-06-10,2024-06-17,1,1,35.0,46.0,11.0,33.0,123.0,17.0,42.0,1.0,4.0,0,0.0,58.0,221.0,328.91592592592593,1.0,19.0,27.0,26.0,71.0,8.82,3.6185185185185182,97.7,206.47,395.5700000000003,0.0,4.0,8.0,23.0,27.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.016649282434364296,-0.03739239434277221,-0.03243292606804718,0.0957307381277711,0.9042692618722288,7,-0.1346147634012809,215166,0.1070316721183952,0.1236809545527595,0.13946459818644238,0.0850324541823843,0.3988574781751702,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-06-17,2024-06-24,1,1,24.0,46.0,10.0,36.0,130.0,20.0,56.0,1.0,4.0,0,0.0,49.0,220.0,335.62176470588236,-10.0,16.0,17.0,27.0,95.0,9.59,3.6623529411764704,62.26,97.7,477.6800000000003,0.0,5.0,1.0,12.0,17.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.0452763243167354,-0.016649282434364296,-0.06906570665967096,0.0825873976371731,0.9174126023628268,7,-0.42301800411612833,215166,0.0617553478016598,0.1070316721183952,0.13082105446133077,0.080588846983847,0.3073738300226956,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-06-24,2024-07-01,1,1,48.0,51.0,19.0,35.0,130.0,11.0,56.0,1.0,4.0,0,0.0,46.0,200.0,333.48857142857145,11.0,23.0,28.0,17.0,73.0,65.03,6.741428571428571,188.76,62.26,368.33000000000027,0.0,4.0,5.0,24.0,28.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,0.0187100805428528,-0.0452763243167354,-0.032919902497573914,0.0022912541944359,0.997708745805564,7,0.30297101722986214,215166,0.0804654283445126,0.0617553478016598,0.11338533084208652,0.080588846983847,0.3111550690757827,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-07-01,2024-07-08,1,1,38.0,54.0,18.0,24.0,128.0,10.0,58.0,1.0,4.0,0,0.0,46.0,199.0,337.13171641791047,106.0,114.0,134.0,28.0,98.0,22.51,5.946940298507463,796.89,188.76,555.1900000000003,3.0,24.0,20.0,107.0,134.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.007712210926940105,0.0187100805428528,-0.020480133286759253,0.3527880799010996,0.6472119200989004,7,-0.09584502419996183,215166,0.0727532174175725,0.0804654283445126,0.09323335070433175,0.0843558308342238,0.6547372062491792,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-07-08,2024-07-15,1,1,49.0,52.0,32.0,48.0,143.0,19.0,60.0,1.0,4.0,0,0.0,51.0,192.0,340.2371875,-102.0,32.0,32.0,134.0,206.0,16.66,5.22875,167.32,796.89,1145.61,2.0,11.0,0.0,19.0,32.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,-0.017473649771460202,-0.007712210926940105,-0.025221848774422705,0.0,1.0,2,-0.24017700373536596,61476,0.0552795676461123,0.0727532174175725,0.080501416420535,0.0552795676461123,0.356540705364137,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1404,Volnovaskyi,Donetska,2024-07-15,2024-07-22,1,1,46.0,46.0,21.0,38.0,145.0,18.0,58.0,1.0,4.0,0,0.0,54.0,197.0,333.5994578313253,134.0,123.0,166.0,32.0,211.0,28.7,6.337771084337349,1052.07,167.32,1215.23,4.0,25.0,43.0,137.0,166.0,0.0,1.0,4.0,42.186768972020914,0.1558160890676603,134.46016562169282,0.10410603135071009,-0.017473649771460202,0.09182220869435812,0.4334439456047889,0.5665560543952111,5,1.8832642110584896,153690,0.1593855989968224,0.0552795676461123,0.06756339030246428,0.1010393591817426,2.281974130319274,0.1107286775947738,2,9,147,12.87795564491788,2.0683517456054688,142205.390625,1.7726991176605225,27.544064495810456,122690.28125,-19515.109375,-0.1372318537942204,158,15.514275121201486,0.0573017022400688,691.0566079670665,11.390324527984204,270.74719449351636,1879.136810398223,1335.3841395974443,12059.966474849982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
