target,experiment,algorithm,split,threshold,accuracy,precision,recall,f1,avg_precision,roc_auc,positive_rate,predicted_positive_rate,n_rows,n_positive,top_10_precision,top_10_recall,top_20pct_precision,top_20pct_recall,forecast_window_weeks,forecast_window_label
y_next_explosions_remote_any,naive_baseline,naive,test,0.5,0.8914868105515588,0.8637640449438202,0.8798283261802575,0.8717221828490432,0.8103237861078258,0.8898625635029256,0.4190647482014388,0.4268585131894484,1668,699,0.8250000000000001,0.1424527271435862,0.8452380952380952,0.408223539816139,2,next_2_weeks
y_next_explosions_remote_any,model1_non_acled_only,linear,test,0.45,0.7332134292565947,0.6768802228412256,0.6952789699570815,0.6859562455892732,0.8020604755687989,0.8242070715794789,0.4190647482014388,0.4304556354916067,1668,699,1.0,0.173001882123016,0.8452380952380952,0.4068417480421904,2,next_2_weeks
y_next_explosions_remote_any,model1_non_acled_only,lightgbm,test,0.65,0.8315347721822542,0.8745519713261649,0.698140200286123,0.7764518695306285,0.8983455018424849,0.9033515371362008,0.4190647482014388,0.3345323741007194,1668,699,1.0,0.173001882123016,0.9940476190476192,0.4812234517626265,2,next_2_weeks
y_next_explosions_remote_any,model1_non_acled_only,catboost,test,0.6,0.8315347721822542,0.9019230769230768,0.670958512160229,0.7694831829368335,0.9029544605651082,0.9098328586761864,0.4190647482014388,0.3117505995203837,1668,699,1.0,0.173001882123016,0.988095238095238,0.4779227981678553,2,next_2_weeks
y_next_explosions_remote_any,model1_non_acled_only,gru,test,0.5,0.8327338129496403,0.8070175438596491,0.7896995708154506,0.7982646420824295,0.900965826108094,0.9095567750479456,0.4190647602081299,0.4100719424460431,1668,699,0.9916666666666668,0.1714867306078644,0.9940476190476192,0.4812234517626265,2,next_2_weeks
y_next_explosions_remote_any,model2_plus_lagged_acled,linear,test,0.45,0.8051558752997602,0.7473544973544973,0.8082975679542204,0.7766323024054983,0.895694016525882,0.9001891246672601,0.4190647482014388,0.4532374100719424,1668,699,1.0,0.173001882123016,0.9940476190476192,0.4811953934012349,2,next_2_weeks
y_next_explosions_remote_any,model2_plus_lagged_acled,lightgbm,test,0.7,0.8321342925659473,0.8774774774774775,0.6967095851216023,0.7767145135566188,0.9040418204347253,0.9073554879372124,0.4190647482014388,0.3327338129496403,1668,699,1.0,0.173001882123016,0.9970238095238094,0.482738603277778,2,next_2_weeks
y_next_explosions_remote_any,model2_plus_lagged_acled,catboost,test,0.5,0.842326139088729,0.8504823151125402,0.7567954220314735,0.8009084027252081,0.9075249345643398,0.9124490094208002,0.4190647482014388,0.3729016786570743,1668,699,1.0,0.173001882123016,0.9970238095238094,0.482738603277778,2,next_2_weeks
y_next_explosions_remote_any,model2_plus_lagged_acled,gru,test,0.5,0.8237410071942446,0.7848101265822784,0.7982832618025751,0.7914893617021277,0.8995546660920696,0.9052280199784152,0.4190647602081299,0.4262589928057554,1668,699,1.0,0.173001882123016,0.9970238095238096,0.4828901184292931,2,next_2_weeks
y_next_violence_against_civilians_any,naive_baseline,naive,test,0.5,0.9568345323741008,0.7547169811320755,0.7843137254901961,0.7692307692307693,0.6117190598242827,0.8792855756163851,0.0917266187050359,0.0953237410071942,1668,153,0.7583333333333334,0.5971611721611721,0.3749999999999999,0.8187437562437561,2,next_2_weeks
y_next_violence_against_civilians_any,model1_non_acled_only,linear,test,0.9,0.9130695443645084,0.5512820512820513,0.2810457516339869,0.3722943722943723,0.4170737886144096,0.8716710886774951,0.0917266187050359,0.0467625899280575,1668,153,0.525,0.4152236652236651,0.318452380952381,0.7025863025863025,2,next_2_weeks
y_next_violence_against_civilians_any,model1_non_acled_only,lightgbm,test,0.7,0.934052757793765,0.7362637362637363,0.4379084967320261,0.5491803278688525,0.5844002270642501,0.8893461895209129,0.0917266187050359,0.0545563549160671,1668,153,0.65,0.51248334998335,0.3333333333333333,0.7331723831723832,2,next_2_weeks
y_next_violence_against_civilians_any,model1_non_acled_only,catboost,test,0.3,0.9382494004796164,0.7976190476190477,0.4379084967320261,0.5654008438818565,0.646754382734443,0.9015444681723074,0.0917266187050359,0.0503597122302158,1668,153,0.65,0.5136488511488512,0.3660714285714285,0.8068764568764567,2,next_2_weeks
y_next_violence_against_civilians_any,model1_non_acled_only,gru,test,0.85,0.9256594724220624,0.638095238095238,0.4379084967320261,0.5193798449612403,0.5863973384433484,0.8934662093660347,0.091726616024971,0.0629496402877697,1668,153,0.5833333333333334,0.4602591852591853,0.3452380952380953,0.7614441114441113,2,next_2_weeks
y_next_violence_against_civilians_any,model2_plus_lagged_acled,linear,test,0.8,0.9040767386091128,0.481283422459893,0.5882352941176471,0.5294117647058824,0.540131685065694,0.8701050497206583,0.0917266187050359,0.1121103117505995,1668,153,0.5499999999999999,0.4362512487512487,0.3392857142857142,0.7450563325563325,2,next_2_weeks
y_next_violence_against_civilians_any,model2_plus_lagged_acled,lightgbm,test,0.65,0.933453237410072,0.71,0.4640522875816993,0.5612648221343873,0.5589168664983513,0.8758730775038288,0.0917266187050359,0.0599520383693045,1668,153,0.6583333333333332,0.5196775446775447,0.3273809523809524,0.7230533355533356,2,next_2_weeks
