raion_id,raion_name,oblast_name,week_start,acled_event_count,fatalities_sum,events_with_fatalities,violence_against_civilians_count,explosions_remote_count,battles_count,strategic_developments_count,protests_riots_count,civilian_targeting_count,air_drone_strike_count,precise_geo_event_count,any_event,high_intensity_week
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-09-25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-10-02,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-10-16,6.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-11-06,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-11-27,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-12-04,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-12-11,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-12-18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2023-12-25,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-01-01,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-01-08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2024-01-15,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,0
